iter	Passed	Remaining
0	153	153763
1	155	77786
2	157	52428
3	159	39606
4	160	31923
5	161	26790
6	163	23130
7	164	20388
8	165	18246
9	166	16532
10	168	15133
11	170	13997
12	171	13023
13	172	12182
14	174	11462
15	176	10838
16	177	10273
17	180	9825
18	181	9385
19	183	8988
20	185	8632
21	186	8307
22	188	8000
23	189	7716
24	191	7464
25	193	7238
26	197	7102
27	199	6911
28	200	6725
29	202	6550
30	204	6392
31	206	6234
32	207	6091
33	209	5953
34	211	5824
35	213	5714
36	215	5609
37	217	5514
38	219	5419
39	221	5321
40	223	5236
41	226	5155
42	228	5079
43	229	4994
44	231	4919
45	233	4844
46	235	4767
47	236	4699
48	240	4658
49	243	4624
50	246	4591
51	249	4544
52	250	4483
53	252	4428
54	254	4371
55	256	4318
56	258	4279
57	261	4239
58	263	4195
59	265	4165
60	267	4116
61	269	4072
62	270	4029
63	273	3996
64	275	3968
65	277	3928
66	279	3890
67	280	3842
68	282	3807
69	284	3775
70	286	3744
71	288	3716
72	290	3692
73	292	3666
74	295	3639
75	296	3608
76	298	3583
77	301	3561
78	304	3549
79	306	3524
80	308	3495
81	310	3471
82	311	3444
83	313	3422
84	314	3389
85	317	3374
86	319	3348
87	322	3345
88	324	3322
89	326	3301
90	328	3280
91	330	3265
92	333	3250
93	335	3230
94	337	3213
95	339	3196
96	341	3180
97	343	3160
98	345	3142
99	347	3129
100	349	3112
101	350	3087
102	352	3072
103	354	3055
104	356	3037
105	358	3022
106	360	3005
107	363	3000
108	366	2996
109	369	2988
110	371	2975
111	373	2960
112	377	2960
113	379	2946
114	380	2931
115	382	2917
116	384	2903
117	387	2894
118	390	2887
119	392	2875
120	394	2864
121	398	2866
122	399	2846
123	400	2830
124	402	2819
125	404	2808
126	407	2801
127	409	2790
128	411	2777
129	413	2765
130	414	2752
131	416	2741
132	418	2730
133	421	2723
134	423	2713
135	425	2701
136	427	2690
137	428	2675
138	430	2666
139	432	2654
140	433	2642
141	435	2630
142	437	2621
143	439	2610
144	441	2600
145	442	2589
146	444	2579
147	445	2567
148	447	2556
149	449	2545
150	451	2539
151	453	2529
152	455	2522
153	457	2512
154	459	2502
155	462	2499
156	463	2489
157	465	2479
158	467	2472
159	468	2461
160	470	2451
161	471	2440
162	473	2430
163	474	2420
164	476	2411
165	477	2401
166	479	2391
167	481	2382
168	482	2374
169	484	2365
170	486	2357
171	487	2348
172	489	2340
173	491	2332
174	492	2323
175	495	2319
176	497	2313
177	499	2306
178	501	2300
179	503	2292
180	504	2281
181	505	2273
182	507	2266
183	509	2259
184	511	2253
185	513	2245
186	516	2246
187	519	2242
188	520	2234
189	522	2227
190	524	2219
191	526	2214
192	528	2210
193	530	2202
194	531	2195
195	533	2189
196	535	2183
197	537	2176
198	539	2169
199	542	2169
200	544	2165
201	546	2160
202	548	2153
203	550	2146
204	551	2139
205	553	2135
206	555	2129
207	557	2123
208	559	2116
209	561	2110
210	562	2104
211	564	2098
212	566	2092
213	567	2086
214	569	2080
215	571	2074
216	573	2068
217	574	2061
218	576	2055
219	578	2050
220	580	2045
221	582	2042
222	584	2036
223	586	2030
224	587	2024
225	589	2018
226	590	2011
227	591	2004
228	593	1997
229	595	1992
230	596	1986
231	598	1980
232	600	1975
233	601	1969
234	603	1963
235	604	1957
236	606	1951
237	607	1944
238	609	1939
239	610	1933
240	611	1927
241	613	1921
242	615	1916
243	616	1911
244	618	1905
245	620	1900
246	621	1894
247	622	1888
248	624	1884
249	626	1880
250	628	1875
251	630	1872
252	632	1867
253	633	1861
254	635	1855
255	636	1850
256	638	1846
257	640	1840
258	641	1835
259	642	1830
260	645	1827
261	647	1822
262	648	1817
263	650	1812
264	651	1806
265	653	1802
266	654	1796
267	656	1792
268	657	1787
269	659	1783
270	661	1778
271	663	1776
272	665	1772
273	667	1767
274	668	1763
275	670	1759
276	671	1753
277	673	1750
278	675	1746
279	677	1742
280	679	1737
281	680	1732
282	682	1727
283	683	1723
284	685	1719
285	686	1715
286	688	1709
287	689	1705
288	691	1700
289	692	1695
290	695	1693
291	696	1688
292	698	1685
293	702	1686
294	704	1684
295	707	1683
296	710	1682
297	714	1682
298	717	1681
